nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      3492, 5.680817630E-03, 3.185359624E-03, 1.804297136E-02, 9.998299562E+06
      3493, 5.640869846E-03, 3.256668494E-03, 1.804297143E-02, 9.998303509E+06
      3494, 5.599354098E-03, 3.326475936E-03, 1.804297136E-02, 9.998301330E+06
      3495, 5.557823181E-03, 3.396273683E-03, 1.804297054E-02, 9.998293774E+06
      3496, 5.514700161E-03, 3.465098746E-03, 1.804297301E-02, 9.998282356E+06
      3497, 5.471338067E-03, 3.533772954E-03, 1.804296999E-02, 9.998269827E+06
      3498, 5.426624339E-03, 3.601574495E-03, 1.804297462E-02, 9.998258478E+06
      3499, 5.381466972E-03, 3.669081049E-03, 1.804296974E-02, 9.998250770E+06
      3500, 5.335180899E-03, 3.735818420E-03, 1.804297621E-02, 9.998247285E+06
      3501, 5.233009037E-03, 3.877667603E-03, 1.804297670E-02, 9.998250544E+06
      3502, 5.127065144E-03, 4.016723216E-03, 1.804297669E-02, 9.998259387E+06
      3503, 5.017425853E-03, 4.152884877E-03, 1.804297628E-02, 9.998266031E+06
      3504, 4.904170098E-03, 4.286054024E-03, 1.804297555E-02, 9.998265008E+06
      3505, 4.787505780E-03, 4.416245340E-03, 1.804296869E-02, 9.998254929E+06
      3506, 4.667347229E-03, 4.543217820E-03, 1.804297097E-02, 9.998239574E+06
      3507, 4.543223926E-03, 4.666319955E-03, 1.804297218E-02, 9.998223927E+06
      3508, 4.416378816E-03, 4.786621676E-03, 1.804298483E-02, 9.998214969E+06
      3509, 4.286756795E-03, 4.903930767E-03, 1.804297944E-02, 9.998214843E+06
      3510, 4.153188831E-03, 5.016722433E-03, 1.804296988E-02, 9.998223656E+06
      3511, 4.016954474E-03, 5.126278708E-03, 1.804298190E-02, 9.998237949E+06
      3512, 3.878403094E-03, 5.232901722E-03, 1.804298978E-02, 9.998255391E+06
      3513, 3.736179585E-03, 5.334571575E-03, 1.804296850E-02, 9.998270852E+06
      3514, 3.669621092E-03, 5.381259401E-03, 1.804298550E-02, 9.998277944E+06
      3515, 3.601683674E-03, 5.425915986E-03, 1.804297809E-02, 9.998283255E+06
      3516, 3.533749739E-03, 5.470570282E-03, 1.804297067E-02, 9.998287489E+06
      3517, 3.465616701E-03, 5.514927660E-03, 1.804297827E-02, 9.998290394E+06
      3518, 3.395987477E-03, 5.556897090E-03, 1.804297404E-02, 9.998292267E+06
      3519, 3.326361638E-03, 5.598864482E-03, 1.804296980E-02, 9.998293368E+06
      3520, 3.256735821E-03, 5.640831916E-03, 1.804296616E-02, 9.998293747E+06
      3521, 6.504653363E-03, 1.511801279E-12, 1.823421341E-02, 9.998248344E+06
      3522, 6.503132874E-03, 8.068007119E-05, 1.823421684E-02, 9.998248039E+06
      3523, 6.501612364E-03, 1.613601405E-04, 1.823422106E-02, 9.998247083E+06
      3524, 6.500091698E-03, 2.420439584E-04, 1.823422526E-02, 9.998245428E+06
      3525, 6.495835356E-03, 3.226299284E-04, 1.823421756E-02, 9.998242787E+06
      3526, 6.491165476E-03, 4.031890959E-04, 1.823422493E-02, 9.998238855E+06
      3527, 6.486495379E-03, 4.837520105E-04, 1.823423230E-02, 9.998233730E+06
      3528, 6.479528923E-03, 5.641493751E-04, 1.823421585E-02, 9.998226769E+06
      3529, 6.462617776E-03, 7.378930983E-04, 1.823423714E-02, 9.998211093E+06
      3530, 6.439708893E-03, 9.109499640E-04, 1.823422846E-02, 9.998193106E+06
      3531, 6.413123068E-03, 1.083472719E-03, 1.823421638E-02, 9.998177927E+06
      3532, 6.382341368E-03, 1.255297509E-03, 1.823422914E-02, 9.998168651E+06
      3533, 6.345682727E-03, 1.425967776E-03, 1.823423131E-02, 9.998168057E+06
      3534, 6.305118805E-03, 1.595748026E-03, 1.823421868E-02, 9.998176961E+06
      3535, 6.260705141E-03, 1.764558900E-03, 1.823422071E-02, 9.998193833E+06
      3536, 6.211000569E-03, 1.931886489E-03, 1.823421522E-02, 9.998210172E+06
      3537, 6.156744713E-03, 2.097793870E-03, 1.823422211E-02, 9.998221176E+06
      3538, 6.098223512E-03, 2.262246925E-03, 1.823422289E-02, 9.998222735E+06
      3539, 6.035308668E-03, 2.425069439E-03, 1.823422335E-02, 9.998216187E+06
      3540, 5.968046117E-03, 2.586144040E-03, 1.823422343E-02, 9.998206268E+06
      3541, 5.896483952E-03, 2.745354195E-03, 1.823422301E-02, 9.998201545E+06
      3542, 5.861744269E-03, 2.819216991E-03, 1.823421694E-02, 9.998203675E+06
      3543, 5.825675224E-03, 2.892440131E-03, 1.823422156E-02, 9.998209978E+06
      3544, 5.789191354E-03, 2.965457798E-03, 1.823421724E-02, 9.998220552E+06
      3545, 5.751204600E-03, 3.037705354E-03, 1.823422002E-02, 9.998233290E+06
      3546, 5.713002812E-03, 3.109839894E-03, 1.823421775E-02, 9.998245914E+06
      3547, 5.673119921E-03, 3.181059129E-03, 1.823421842E-02, 9.998255286E+06
      3548, 5.633225599E-03, 3.252272568E-03, 1.823421849E-02, 9.998259448E+06
      3549, 5.591767364E-03, 3.321982543E-03, 1.823421842E-02, 9.998257226E+06
      3550, 5.550297502E-03, 3.391684981E-03, 1.823421778E-02, 9.998249375E+06
      3551, 5.507231185E-03, 3.460412074E-03, 1.823422006E-02, 9.998237529E+06
      3552, 5.463935551E-03, 3.528994492E-03, 1.823421738E-02, 9.998224557E+06
      3553, 5.419278055E-03, 3.596697641E-03, 1.823422168E-02, 9.998212897E+06
      3554, 5.374192086E-03, 3.664115906E-03, 1.823421728E-02, 9.998205080E+06
      3555, 5.327962158E-03, 3.730754601E-03, 1.823422326E-02, 9.998201744E+06
      3556, 5.225926911E-03, 3.872414351E-03, 1.823422375E-02, 9.998205909E+06
      3557, 5.120124637E-03, 4.011284166E-03, 1.823422375E-02, 9.998216018E+06
      3558, 5.010631906E-03, 4.147263824E-03, 1.823422334E-02, 9.998223905E+06
      3559, 4.897527479E-03, 4.280254834E-03, 1.823422261E-02, 9.998223242E+06
      3560, 4.781019105E-03, 4.410271957E-03, 1.823421576E-02, 9.998212432E+06
      3561, 4.661021116E-03, 4.537074380E-03, 1.823421805E-02, 9.998195874E+06
      3562, 4.537063763E-03, 4.660011633E-03, 1.823421924E-02, 9.998178971E+06
      3563, 4.410388002E-03, 4.780151928E-03, 1.823423189E-02, 9.998169298E+06
      3564, 4.280939297E-03, 4.897303707E-03, 1.823422652E-02, 9.998168967E+06
      3565, 4.147549997E-03, 5.009944018E-03, 1.823421695E-02, 9.998177994E+06
      3566, 4.011497569E-03, 5.119352886E-03, 1.823422897E-02, 9.998192742E+06
      3567, 3.873131512E-03, 5.225832631E-03, 1.823423687E-02, 9.998210880E+06
      3568, 3.731107122E-03, 5.327378342E-03, 1.823421627E-02, 9.998226900E+06
      3569, 3.664632868E-03, 5.373987191E-03, 1.823423257E-02, 9.998234266E+06
