        1.,    0.145089640000000E+09,    0.161680936000000E+09,    0.138051112000000E+09,    0.145602645000000E+08,   -0.647684460000000E+08,   -0.369495740000000E+08
        2.,    0.161660484000000E+09,    0.182932896000000E+09,    0.140849648000000E+09,    0.184765285000000E+08,   -0.785610720000000E+08,   -0.452743860000000E+08
        3.,    0.132673364000000E+09,    0.147774096000000E+09,    0.155131744000000E+09,    0.133294900000000E+08,   -0.606486760000000E+08,   -0.346884900000000E+08
        4.,    0.149641292000000E+09,    0.168935268000000E+09,    0.161393576000000E+09,    0.167153202500000E+08,   -0.764818400000000E+08,   -0.440423630000000E+08
        5.,    0.146587740000000E+09,    0.162962696000000E+09,    0.139231004000000E+09,    0.152743795000000E+08,   -0.637540600000000E+08,   -0.382505600000000E+08
        6.,    0.161552048000000E+09,    0.181795262000000E+09,    0.140740454000000E+09,    0.184491960000000E+08,   -0.772818800000000E+08,   -0.467219070000000E+08
        7.,    0.133398116000000E+09,    0.148817692000000E+09,    0.156207460000000E+09,    0.135654482500000E+08,   -0.603181350000000E+08,   -0.357256090000000E+08
        8.,    0.149156652000000E+09,    0.167899832000000E+09,    0.160594694000000E+09,    0.165175911250000E+08,   -0.753508580000000E+08,   -0.452277460000000E+08
        9.,    0.146545652000000E+09,    0.161704940000000E+09,    0.138129720000000E+09,    0.145915197500000E+08,   -0.622650380000000E+08,   -0.394130810000000E+08
       10.,    0.162195208000000E+09,    0.180502666000000E+09,    0.139877270000000E+09,    0.179113650000000E+08,   -0.756777690000000E+08,   -0.481577970000000E+08
       11.,    0.133279470000000E+09,    0.147468200000000E+09,    0.154927200000000E+09,    0.128907062500000E+08,   -0.590774190000000E+08,   -0.366693990000000E+08
       12.,    0.149514734000000E+09,    0.166988658000000E+09,    0.159514088000000E+09,    0.158535406250000E+08,   -0.740425970000000E+08,   -0.462963890000000E+08
       13.,    0.147236472000000E+09,    0.160261152000000E+09,    0.137043076000000E+09,    0.139302582500000E+08,   -0.607904970000000E+08,   -0.406590400000000E+08
       14.,    0.163000754000000E+09,    0.179022584000000E+09,    0.138770320000000E+09,    0.170278250000000E+08,   -0.737379140000000E+08,   -0.494041535000000E+08
       15.,    0.133728534000000E+09,    0.146355760000000E+09,    0.153424652000000E+09,    0.121534270000000E+08,   -0.576181200000000E+08,   -0.373745090000000E+08
       16.,    0.150037674000000E+09,    0.165654034000000E+09,    0.158000922000000E+09,    0.148658440000000E+08,   -0.723092860000000E+08,   -0.472564590000000E+08
       17.,    0.148150396000000E+09,    0.159258188000000E+09,    0.135999644000000E+09,    0.129863192500000E+08,   -0.589402210000000E+08,   -0.415692810000000E+08
       18.,    0.163884638000000E+09,    0.177310196000000E+09,    0.137499816000000E+09,    0.158665225000000E+08,   -0.713869930000000E+08,   -0.508778935000000E+08
       19.,    0.134582664000000E+09,    0.145731704000000E+09,    0.152077084000000E+09,    0.112901347500000E+08,   -0.561018980000000E+08,   -0.383151150000000E+08
       20.,    0.150569140000000E+09,    0.164364394000000E+09,    0.156275462000000E+09,    0.137763455000000E+08,   -0.699689460000000E+08,   -0.483589300000000E+08
       21.,    0.149003988000000E+09,    0.157865528000000E+09,    0.134855996000000E+09,    0.119729722500000E+08,   -0.567684900000000E+08,   -0.430038580000000E+08
