nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,  total-pressure
      5414, 2.648864303E-04, 1.869674193E-04, 2.930714129E-02, 1.007021749E+07
      5415, 2.117340648E-04, 2.227355144E-04, 2.930716894E-02, 1.007188700E+07
      5416, 2.056684540E-04, 2.418013705E-04, 2.930707770E-02, 1.007083875E+07
      5417, 1.899531876E-04, 2.641643456E-04, 2.930709962E-02, 1.007015767E+07
      5418, 1.674707153E-04, 2.900677876E-04, 2.930698277E-02, 1.006924470E+07
      5419, 3.171425335E-04, 9.730427508E-06, 2.930740551E-02, 1.007096818E+07
      5420, 3.091366380E-04, 4.165586031E-05, 2.930738702E-02, 1.007142813E+07
      5421, 3.048267922E-04, 7.754112497E-05, 2.930726998E-02, 1.007143381E+07
      5422, 3.059934110E-04, 8.501931940E-05, 2.930720320E-02, 1.007105745E+07
      5423, 2.918894186E-04, 1.029012099E-04, 2.930739031E-02, 1.007164612E+07
      5424, 2.930361488E-04, 1.098941427E-04, 2.930732672E-02, 1.007131022E+07
      5425, 2.874420398E-04, 1.198828086E-04, 2.930738435E-02, 1.007144942E+07
      5426, 2.884821586E-04, 1.268131974E-04, 2.930732331E-02, 1.007109611E+07
      5427, 2.837105102E-04, 1.295029873E-04, 2.930740585E-02, 1.007143295E+07
      5428, 2.847251853E-04, 1.363720882E-04, 2.930734568E-02, 1.007107287E+07
      5429, 2.796643647E-04, 1.459835470E-04, 2.930730392E-02, 1.007109561E+07
      5430, 2.744534567E-04, 1.554600479E-04, 2.930725048E-02, 1.007109770E+07
      5431, 2.735851821E-04, 1.487049227E-04, 2.930738222E-02, 1.007149232E+07
      5432, 2.683033288E-04, 1.581184864E-04, 2.930733129E-02, 1.007148937E+07
      5433, 2.635820704E-04, 1.740534789E-04, 2.930729423E-02, 1.007106880E+07
      5434, 2.638228327E-04, 1.795211071E-04, 2.930723729E-02, 1.007072948E+07
      5435, 2.584967597E-04, 1.894162559E-04, 2.930722885E-02, 1.007056600E+07
      5436, 2.520737986E-04, 1.918670716E-04, 2.930725120E-02, 1.007090686E+07
      5437, 2.456503642E-04, 1.943125575E-04, 2.930727364E-02, 1.007125366E+07
      5438, 2.392267150E-04, 1.967527534E-04, 2.930729618E-02, 1.007158219E+07
      5439, 2.328030061E-04, 1.991875053E-04, 2.930731881E-02, 1.007201648E+07
      5440, 2.263888756E-04, 2.016108829E-04, 2.930734155E-02, 1.007237999E+07
      5441, 1.993393697E-04, 2.246787087E-04, 2.930733619E-02, 1.007246585E+07
      5442, 1.938056843E-04, 2.441284537E-04, 2.930723331E-02, 1.007137252E+07
      5443, 1.789316897E-04, 2.666948757E-04, 2.930724067E-02, 1.007056539E+07
      5444, 3.135796718E-04, 3.018499213E-15, 2.930753011E-02, 1.007134056E+07
      5445, 3.049529178E-04, 3.124192601E-05, 2.930753253E-02, 1.007194612E+07
      5446, 3.001497408E-04, 6.613624506E-05, 2.930743130E-02, 1.007195972E+07
      5447, 2.895719688E-04, 8.894256922E-05, 2.930751782E-02, 1.007244853E+07
      5448, 2.907337575E-04, 9.591314488E-05, 2.930745405E-02, 1.007208152E+07
      5449, 2.918894186E-04, 1.029012099E-04, 2.930739031E-02, 1.007164612E+07
      5450, 2.863936275E-04, 1.129562515E-04, 2.930744553E-02, 1.007179901E+07
      5451, 2.816608963E-04, 1.157748119E-04, 2.930752654E-02, 1.007212805E+07
      5452, 2.826890760E-04, 1.226371273E-04, 2.930746614E-02, 1.007178461E+07
      5453, 2.777769867E-04, 1.323471585E-04, 2.930751136E-02, 1.007183067E+07
      5454, 2.787207414E-04, 1.391571923E-04, 2.930743840E-02, 1.007147448E+07
      5455, 2.727125396E-04, 1.419396195E-04, 2.930751422E-02, 1.007186839E+07
      5456, 2.675055748E-04, 1.514235563E-04, 2.930746057E-02, 1.007187593E+07
      5457, 2.621443137E-04, 1.607766416E-04, 2.930745390E-02, 1.007186822E+07
      5458, 2.628653278E-04, 1.674144274E-04, 2.930737402E-02, 1.007147320E+07
      5459, 2.266628697E-04, 1.944115079E-04, 2.930746500E-02, 1.007269019E+07
      5460, 2.066229080E-04, 2.057462559E-04, 2.930747004E-02, 1.007301937E+07
      5461, 1.819331203E-04, 2.464556453E-04, 2.930738906E-02, 1.007190259E+07
      5462, 3.183918030E-04, 2.469964917E-04, 2.930736282E-02, 1.006161202E+07
      5463, 1.679145816E-04, 2.692219655E-04, 2.930738168E-02, 1.007094963E+07
      5464, 2.953619173E-04, 5.539466309E-05, 2.930759109E-02, 1.007253641E+07
      5465, 2.895719688E-04, 8.894256922E-05, 2.930751782E-02, 1.007244853E+07
      5466, 2.566501464E-04, 1.700072213E-04, 2.930750583E-02, 1.007182921E+07
      5467, 2.572969467E-04, 1.765846175E-04, 2.930742837E-02, 1.007142205E+07
      5468, 2.509943465E-04, 1.791148692E-04, 2.930748578E-02, 1.007175501E+07
      5469, 2.574766718E-04, 1.820140201E-04, 2.930736902E-02, 1.007107907E+07
      5470, 2.965828171E-04, 1.041491919E-05, 2.930776403E-02, 1.007281576E+07
      5471, 3.007676749E-04, 2.082706259E-05, 2.930766799E-02, 1.007238439E+07
      5472, 2.828995097E-04, 8.538938185E-05, 2.930767513E-02, 1.007290064E+07
      5473, 2.835599582E-04, 9.291919862E-05, 2.930761845E-02, 1.007276525E+07
      5474, 2.842662193E-04, 9.911755844E-05, 2.930756846E-02, 1.007250694E+07
      5475, 2.853361437E-04, 1.060335522E-04, 2.930750689E-02, 1.007213146E+07
      5476, 2.788844368E-04, 9.589798440E-05, 2.930769736E-02, 1.007303459E+07
      5477, 2.795783136E-04, 1.020639712E-04, 2.930764781E-02, 1.007278929E+07
      5478, 2.806249227E-04, 1.089154580E-04, 2.930758709E-02, 1.007245992E+07
      5479, 2.749058860E-04, 1.119338409E-04, 2.930768720E-02, 1.007284071E+07
      5480, 2.758698996E-04, 1.187357401E-04, 2.930762846E-02, 1.007251344E+07
      5481, 2.768265108E-04, 1.255398273E-04, 2.930756985E-02, 1.007217708E+07
      5482, 2.709617529E-04, 1.284407521E-04, 2.930767362E-02, 1.007255905E+07
      5483, 2.718408342E-04, 1.351892704E-04, 2.930761693E-02, 1.007222000E+07
      5484, 2.667039532E-04, 1.447195991E-04, 2.930759009E-02, 1.007224799E+07
      5485, 2.614163199E-04, 1.541409979E-04, 2.930753914E-02, 1.007224893E+07
      5486, 2.196738195E-04, 1.915171453E-04, 2.930758682E-02, 1.007320558E+07
      5487, 2.199226089E-04, 1.977082550E-04, 2.930747574E-02, 1.007280633E+07
      5488, 2.066229080E-04, 2.057462559E-04, 2.930747004E-02, 1.007301937E+07
      5489, 1.866224989E-04, 2.267398609E-04, 2.930750714E-02, 1.007304961E+07
      5490, 1.700583960E-04, 2.487817379E-04, 2.930754485E-02, 1.007235130E+07
      5491, 1.568955992E-04, 2.717511493E-04, 2.930752633E-02, 1.007129623E+07
      5492, 2.659042455E-04, 1.380292508E-04, 2.930771933E-02, 1.007259591E+07
      5493, 2.606864699E-04, 1.474986053E-04, 2.930766615E-02, 1.007261630E+07
      5494, 2.553429751E-04, 1.568565384E-04, 2.930766105E-02, 1.007260193E+07
      5495, 2.559995943E-04, 1.634309973E-04, 2.930758337E-02, 1.007222344E+07
      5496, 2.498403175E-04, 1.660854414E-04, 2.930771320E-02, 1.007255096E+07
      5497, 2.504190868E-04, 1.725998244E-04, 2.930760586E-02, 1.007215895E+07
      5498, 2.441999873E-04, 1.751858472E-04, 2.930762376E-02, 1.007247462E+07
      5499, 2.447066588E-04, 1.816392676E-04, 2.930750545E-02, 1.007208205E+07
      5500, 2.511183916E-04, 1.845202475E-04, 2.930738973E-02, 1.007141414E+07
      5501, 2.321302070E-04, 1.866741498E-04, 2.930754507E-02, 1.007272088E+07
      5502, 2.384358707E-04, 1.895167145E-04, 2.930743110E-02, 1.007207453E+07
      5503, 2.260198536E-04, 1.765819733E-04, 2.930778416E-02, 1.007368626E+07
      5504, 2.263630023E-04, 1.828453341E-04, 2.930767085E-02, 1.007332028E+07
      5505, 2.048298547E-04, 1.932779998E-04, 2.930770690E-02, 1.007400789E+07
      5506, 2.054326142E-04, 1.988799373E-04, 2.930760255E-02, 1.007350179E+07
      5507, 1.738973650E-04, 2.288152221E-04, 2.930767807E-02, 1.007362825E+07
      5508, 1.581884586E-04, 2.511050065E-04, 2.930770059E-02, 1.007277993E+07
      5509, 2.924010839E-04, 3.951026841E-14, 2.930790859E-02, 1.007322191E+07
      5510, 2.856793784E-04, 3.324689064E-05, 2.930787010E-02, 1.007366094E+07
      5511, 2.905185955E-04, 4.432285969E-05, 2.930775391E-02, 1.007310111E+07
      5512, 2.829368495E-04, 7.049232997E-05, 2.930775967E-02, 1.007310014E+07
      5513, 2.774728635E-04, 5.875935473E-05, 2.930792590E-02, 1.007387455E+07
      5514, 2.764650365E-04, 7.316009231E-05, 2.930787724E-02, 1.007357851E+07
      5515, 2.774008703E-04, 8.856016155E-05, 2.930776984E-02, 1.007329625E+07
      5516, 2.719022041E-04, 9.173091669E-05, 2.930786455E-02, 1.007372008E+07
      5517, 2.732964424E-04, 9.900452339E-05, 2.930779428E-02, 1.007340080E+07
      5518, 2.739313091E-04, 1.051411746E-04, 2.930774610E-02, 1.007315508E+07
      5519, 2.682833760E-04, 1.082175346E-04, 2.930784442E-02, 1.007352016E+07
      5520, 2.691854990E-04, 1.149510356E-04, 2.930778734E-02, 1.007321034E+07
      5521, 2.700771343E-04, 1.216951788E-04, 2.930773041E-02, 1.007288868E+07
      5522, 2.642841852E-04, 1.246532300E-04, 2.930783238E-02, 1.007325348E+07
      5523, 2.650967499E-04, 1.313399477E-04, 2.930777741E-02, 1.007292897E+07
      5524, 2.546832480E-04, 1.502757913E-04, 2.930774196E-02, 1.007296823E+07
      5525, 2.486682315E-04, 1.530524413E-04, 2.930786394E-02, 1.007329865E+07
      5526, 2.492556909E-04, 1.595715311E-04, 2.930778851E-02, 1.007293038E+07
      5527, 2.431779476E-04, 1.622819429E-04, 2.930786042E-02, 1.007323413E+07
      5528, 2.436907815E-04, 1.687333149E-04, 2.930774208E-02, 1.007285879E+07
      5529, 2.375407176E-04, 1.713770741E-04, 2.930775827E-02, 1.007316285E+07
      5530, 2.379807265E-04, 1.777677353E-04, 2.930764174E-02, 1.007278643E+07
      5531, 2.384187988E-04, 1.841591493E-04, 2.930752521E-02, 1.007240140E+07
      5532, 2.447773137E-04, 1.870210787E-04, 2.930741037E-02, 1.007175096E+07
      5533, 2.263630023E-04, 1.828453341E-04, 2.930767085E-02, 1.007332028E+07
      5534, 2.267062672E-04, 1.891091153E-04, 2.930755753E-02, 1.007295267E+07
      5535, 2.320939455E-04, 1.920066960E-04, 2.930745193E-02, 1.007244595E+07
      5536, 2.191762119E-04, 1.791348769E-04, 2.930780900E-02, 1.007401538E+07
      5537, 2.194250177E-04, 1.853260145E-04, 2.930769791E-02, 1.007363662E+07
      5538, 2.048298547E-04, 1.932779998E-04, 2.930770690E-02, 1.007400789E+07
      5539, 2.054326142E-04, 1.988799373E-04, 2.930760255E-02, 1.007350179E+07
      5540, 1.930500597E-04, 2.076054459E-04, 2.930759361E-02, 1.007381961E+07
      5541, 1.866224989E-04, 2.267398609E-04, 2.930750714E-02, 1.007304961E+07
      5542, 2.621200669E-04, 1.052171755E-04, 2.930798811E-02, 1.007412017E+07
      5543, 2.626354156E-04, 1.112932651E-04, 2.930794274E-02, 1.007387863E+07
      5544, 2.634649969E-04, 1.179671998E-04, 2.930788749E-02, 1.007357071E+07
      5545, 2.577390582E-04, 1.209834442E-04, 2.930798775E-02, 1.007392094E+07
      5546, 2.584849131E-04, 1.276111037E-04, 2.930793449E-02, 1.007360831E+07
      5547, 2.592245102E-04, 1.342387278E-04, 2.930788135E-02, 1.007328996E+07
      5548, 2.599583715E-04, 1.408679839E-04, 2.930779293E-02, 1.007296187E+07
      5549, 2.540265984E-04, 1.437062410E-04, 2.930786625E-02, 1.007331360E+07
